key,n_in,n_out,rbc_in,rbc_out,rbc_bg,tm_in,tm_out,tm_bg,dis_in,dis_out,dis_bg,gas_in,gas_out,gas_bg
2024-05-02_023DB,74561,1593,0.829015282194027,0.5344772268727842,-0.015986896143841932,0.7538582899757483,0.4297469946368243,0.027017537348707092,0.5212982550898182,0.02620628331876934,0.026002612602792304,0.33499413847877124,0.5434136637885681,0.05045814466436978
2024-05-06_043AS,56991,276,0.849463274480346,0.8316478006851203,-0.015811239548827745,0.7564400550568422,0.8148313323354706,0.07968683230064125,0.5290522115975832,0.34865056706003733,0.060802300655162275,0.1953778584392507,0.31703507219009774,0.02145830619857122
2024-05-08_012EB,23788,1346,0.8384605129790981,0.8271274527380231,0.009504919893648914,0.8142930587853382,0.7955603428121383,0.05543843653877354,0.6256962495653758,0.13377332380720047,0.032604474778318085,0.65122343346342,0.4800352028681008,0.03615830911139199
2024-05-13_002ZS,26541,3462,0.8760533104687144,0.8383550430948494,0.02246208777020808,0.804751039796971,0.7666499227725031,0.01558443064230468,0.215424037288101,-0.09436418125037552,0.004410024964885024,0.17346769042478496,0.22633009601293033,0.06176468308447743
2024-06-18_003PM,41789,1047,0.8910769601487297,0.9190049594233678,0.017813815650198593,0.840269760535656,0.8919137395610003,0.06990285374503451,0.602978140601009,0.22070789280668074,0.04612745357002204,0.3242420110588272,0.4606397195695352,0.07202508074075079
2024-07-03_044DY,59544,1426,0.9101165923427444,0.7798042040702899,-0.0014099870881119209,0.8776611411289953,0.6714197942334642,0.08376879575198105,0.664251057857298,0.262766195581748,0.08293910139518794,0.46293583232682295,0.540122099991992,0.06130164553468558
2024-07-29_004DS,43133,6315,0.8515177835170276,0.4073497993848743,0.0008910694181479299,0.7928453644351746,0.26261123229266875,0.06100927604243115,0.5885803123861831,0.21225540854536437,0.012874324517506482,0.8395329656876755,0.7613219309180329,0.12864279239580584
2024-08-12_013VM,66287,1840,0.6948582297439827,0.3438338726367033,0.02223522351063648,0.6387554907758687,0.31577194353307597,-0.02083293553058906,0.19228831035139374,0.09674488330128912,0.014936936302175442,0.23868589051087366,0.5024345436662284,0.035433798004419585
2024-08-19_015HK,59239,696,0.8643615895982302,0.8026470858450938,0.012869835208686628,0.8409447022082509,0.7589495652277075,0.07246032252815696,0.5937018210186306,0.1173098349367571,0.059331978574645644,0.32993042842801124,0.6675283184492071,0.04119295835310198
2024-08-21_044DY,62226,3707,0.9370132283128563,0.7447253911972623,0.013200401123317947,0.9080954497145703,0.7464049048868202,0.07600383690267838,0.7440011969232732,0.22047916793438688,0.12090635050434835,0.44937837296275224,0.49296156126393936,0.07295014909251529
2024-08-23_016PG,84648,366,0.7164579726882936,0.7231879807736455,0.010117824088098085,0.7116056336902942,0.7558755553143685,0.008047092655214203,0.20451482002162952,0.11888201517069275,0.023034535258212176,0.17274281321912668,0.21971938774254693,0.014494134491227776
2024-08-30_014KS,60840,635,0.9201645407489973,0.907676800829521,0.049645637465434204,0.9043735832184784,0.8964375665560669,0.11828274377607247,0.6745700873455219,0.3098017568528464,0.15355684321808413,0.38914542880476294,0.4761671479256737,0.04862862060668766
2024-09-03_041WF,71006,1932,0.8556235067886678,0.6573964267395447,0.029863859334647493,0.7950733254006893,0.5976573281479945,0.0491973884798584,0.40761650945206446,0.10432529655757258,0.04957157109472532,0.3111744182143503,0.47911130362136456,0.04209059206735223
