a,b,n,gas,dis,tm,rbc,gas_hp,dis_hp,tm_hp,rbc_hp
2024-03-12_006KL,2024-12-05_043AS,33156,-0.16840327763711474,-0.505367017555921,-0.49529247576268315,0.05813456250985543,-0.028257107427570823,-0.19918981367507868,-0.16803530234687392,0.014819811577671151
2024-03-12_044DY,2024-03-14_038RL,64323,0.5304685166567396,0.7711603494453365,0.6724145555698293,0.37282387485235396,0.35361151223282394,0.6385275012117426,0.503712896471931,0.15784257199335228
2024-03-12_044DY,2024-03-21_032WS,63916,0.11131419508248622,0.31754708845185425,0.22975094670066504,0.2558234002978817,-0.04553967536201128,0.06622719113661425,-0.011690976929225196,0.06223812545499226
2024-03-12_044DY,2024-03-21_036RL,63384,0.31052847544560064,0.5177987579180205,0.5152335039183186,0.1547562378941531,0.16129346581012124,0.46920206266128617,0.383212786754186,0.11524320471848745
2024-03-12_044DY,2024-03-28_010AJ,40790,0.1507423447007214,0.47581590829696574,0.41513315989899185,0.20155372077737643,0.018021675196742488,0.1747908710239592,0.11275866481089565,0.1076579342135158
2024-03-12_044DY,2024-04-09_019WR,53515,0.3416867397600229,0.5923757578641189,0.5168723851741216,0.3383069971674724,0.10871855272619872,0.3904546357637535,0.2788993757146364,0.13233400049497945
2024-03-12_044DY,2024-04-22_025VP,46137,0.2818634468896596,0.4477071836551207,0.43263982237500753,0.32606807441927627,0.22524112279870753,0.3034842526569951,0.28451275277168603,0.11745818751056694
2024-03-12_044DY,2024-05-06_043AS,60386,0.37411393030197737,0.7338646990863993,0.6835989738799404,0.3633674079817647,0.20214554865635576,0.5741997089166514,0.48859497390561735,0.1611405432742264
2024-03-12_044DY,2024-06-18_003PM,38002,0.306532851554314,0.3615749971167231,0.29806615738021786,0.29519176782362944,0.2803229956632917,0.3588698584153264,0.29992188213367243,0.11345584974612707
2024-03-12_044DY,2024-07-29_004DS,43088,0.313667900940374,0.3038859345251644,0.32460372009627025,-0.05289877817133441,0.27454817313628943,0.390893584229452,0.3262787779883167,0.013909786965105976
2024-03-12_044DY,2024-08-12_013VM,72986,0.3855500591552918,0.6316147419000159,0.5560247823433007,0.22951539253225048,0.21590500108591368,0.40538426150293044,0.3142652379237871,0.12915425800700098
2024-03-12_044DY,2024-08-19_015HK,68724,0.42072315380763187,0.7594242005786084,0.6799745901780051,0.40989139485296683,0.1415285717786833,0.5427473560866743,0.4112216260751235,0.1497509107842358
2024-03-12_044DY,2024-08-23_016PG,76099,0.3820347059979013,0.6368195066427715,0.4999746248189321,0.28703804991101517,0.22377211558498514,0.39114340164998923,0.26213029402116345,0.06234657319790653
2024-03-12_044DY,2024-08-30_014KS,63175,0.2927343726264821,0.6304161721088136,0.5061822788726126,0.3084866831928691,0.10607045951746706,0.46793152097136076,0.3179145027031685,0.06697448739327984
2024-03-12_044DY,2024-09-03_041WF,74964,0.4583693072802222,0.7876739035428709,0.7310727583498072,0.2751683309324937,0.31449192391309894,0.6455644692328213,0.5322991266191645,0.09512269639461836
2024-03-12_044DY,2024-09-09_043AS,58321,0.3362575727839838,0.6433207733961461,0.6248127670950989,0.3736760945298451,0.17378917447332887,0.5061214431816179,0.4564668483219869,0.15376235729729928
2024-03-12_044DY,2024-09-10_008TP,51182,0.27660464967425225,0.5886054231665582,0.5322982169006226,0.03277355246733797,0.058771825306927164,0.3240476968215754,0.2536042820528969,-0.045564482074637334
2024-03-12_044DY,2024-09-10_045VS,50445,0.2941830245855693,0.5475672883936173,0.47574212420438505,0.3847324422268008,0.1975843183364384,0.40576279309070906,0.32044719151415024,0.14915042259954328
2024-03-12_044DY,2024-09-24_039CP,59453,0.36795728685427637,0.7227613338320497,0.6516088723316037,0.22707650200294077,0.15598290968172404,0.49839521420308774,0.39939765385249554,0.10032825848855231
2024-03-12_044DY,2024-09-24_046AA,60134,0.37961451161538756,0.6517363406305376,0.6178295247088639,0.12115692818580173,0.2147787175134465,0.5006310165415301,0.38982969092129005,0.018239176415816995
2024-03-12_044DY,2024-09-26_009ML,70246,0.37811692215976084,0.7036827683474014,0.5693326992377162,0.29103425788069065,0.15536231435206216,0.5334885873267095,0.3637190789853563,0.07819745355969986
2024-03-12_044DY,2024-09-27_036RL,57989,0.2232247965583027,0.3513036033262627,0.33457355967903224,0.11248991378536653,0.2259720194187801,0.4481767512264091,0.35021283531762154,0.017373187248583742
2024-03-12_044DY,2024-10-02_011CN,49528,0.117748277280849,0.2737367082816537,0.24885886445394967,0.06919305692137133,0.10902089450635527,0.172245745583351,0.15232245870624955,-0.01933422481281344
2024-03-12_044DY,2024-10-10_019LR,55588,0.3138419725749013,0.41295403754926147,0.446950004239955,0.10720580382159,0.15835567784149385,0.37086212197826807,0.34404839596706843,0.10141837823192233
2024-03-12_044DY,2024-10-16_020JS,47674,0.03810596901631575,-0.09563648615265308,-0.09542983232242111,0.00729584917820672,0.05148236729805634,-0.06398909781794614,-0.0605772186410902,-0.011429609596842052
2024-03-12_044DY,2024-10-17_048JJ,55878,0.12594022459047066,0.2775122457601534,0.26797956327540423,0.1748326791085091,0.032643738079428226,0.15043963988199652,0.11042103121301275,0.05974949699659775
2024-03-12_044DY,2024-10-22_021CH,46069,0.03472354756345003,-0.07954987413252718,-0.036656471921650044,-0.08504107131773997,0.13203779889569991,0.08876907343477371,0.09296908685281126,0.0021981276736099133
2024-03-12_044DY,2024-10-29_049WG,57038,0.33522598702972456,0.5046809756993849,0.41219491738856995,0.2326367425363012,0.1531214748531274,0.41036034276372724,0.2720193681553784,0.030086062429171615
2024-03-12_044DY,2024-11-05_023LL,39745,0.2517737557670784,0.3186746195194247,0.39191560935466235,-0.02932107027960933,0.17109953954364554,0.37320738586135094,0.3175632780383964,0.014863636171016076
2024-03-12_044DY,2024-11-13_025JC,69992,0.39047953497944843,0.7524104888071417,0.600010393064936,0.3011194651478681,0.1644185238634014,0.6049593145123985,0.3903594770977519,0.08591185145955069
2024-03-12_044DY,2024-11-26_050EH,68460,0.36589396626622434,0.5264674309205649,0.4723788478669728,0.16619899578440148,0.246285980124356,0.4052532853785248,0.32047879201366003,0.03158670249414827
2024-03-12_044DY,2024-12-05_043AS,59625,0.41117039238683556,0.7072305878646902,0.6827150660379809,0.201274811145022,0.2278473577410294,0.4852558233481781,0.42505203310527484,0.0744238710602488
2024-03-14_038RL,2024-03-21_032WS,64563,0.02367056123228962,0.043786630448198784,-0.011225910250605695,0.25021201364397994,0.031731364210983354,0.06929017778647892,0.06080183287644265,0.0387919421091618
2024-03-14_038RL,2024-03-21_036RL,61247,0.3108332763531958,0.46726164783108887,0.49445291417707476,0.0608813637884864,0.2790966354451786,0.5102450628110488,0.4555640971598344,0.07936410893629174
2024-03-14_038RL,2024-03-28_010AJ,42353,0.09981962153798522,0.39452423684617977,0.2857979255728589,0.32413087203645996,0.04104492257754431,0.0830365263197254,0.032979065136432235,0.08319743423739619
2024-03-14_038RL,2024-04-09_019WR,64187,0.5006716365156192,0.7189222138220572,0.6493293391747758,0.6087817196412062,0.31191513213502636,0.5342092676912149,0.4398030687234268,0.24295424836062385
2024-03-14_038RL,2024-04-22_025VP,37268,0.007765759773172527,0.21275495475506886,0.19563507853485798,0.28556292279615886,0.03976576339354589,0.12265707625503076,0.11575789962918903,0.03322372060935106
2024-03-14_038RL,2024-05-06_043AS,69510,0.48043466122333867,0.8031057762013636,0.7388531047446348,0.5709607116601559,0.30052228032680006,0.6481150823476562,0.5671833230295541,0.26422715347224346
2024-03-14_038RL,2024-06-18_003PM,33176,0.3261035023374638,0.4169126178288055,0.3094609672150944,0.40376369076595064,0.26848564424203164,0.37328106492917945,0.261731631411634,0.20601050130823434
2024-03-14_038RL,2024-07-03_044DY,55224,0.49699737094871177,0.725305562517119,0.6113757394815552,0.6173572761366752,0.15732247042463557,0.5408390228510622,0.3912702464925991,0.2377195068870009
2024-03-14_038RL,2024-07-29_004DS,40708,0.16135129834060805,0.13742089973629482,0.18669747708786907,-0.06363365843136991,0.2339909727630475,0.3545882797529898,0.3067796490620432,0.03398743284775719
2024-03-14_038RL,2024-08-12_013VM,70850,0.36004695564879025,0.4424592507508229,0.38934185114044745,0.35417311126748946,0.252387568684674,0.3343579007359386,0.25394969145872653,0.1506406599834223
2024-03-14_038RL,2024-08-19_015HK,67835,0.36976668923469397,0.6288903121657778,0.5270119637183356,0.596953626343558,0.18954912888059075,0.4763159090698845,0.36284941259244263,0.217008832679278
2024-03-14_038RL,2024-08-21_044DY,57014,0.4965105310875936,0.7664628329779128,0.697870342261332,0.5011377770741243,0.2565050538255868,0.5860394042739521,0.5149098795794287,0.14400150663352304
2024-03-14_038RL,2024-08-23_016PG,84907,0.5416925263232115,0.7199441543059217,0.5610590015805743,0.5722239523032414,0.33931912017819554,0.5439862117139086,0.33307703396841243,0.17445010628738652
2024-03-14_038RL,2024-08-30_014KS,60413,0.2777816812753386,0.4405219484403557,0.3865126431937544,0.48622695218515594,0.20323621361080327,0.4282649329937585,0.34686586881369613,0.16265261922250981
2024-03-14_038RL,2024-09-03_041WF,78286,0.5743666563075654,0.8366546492550813,0.7375600732736812,0.6414844864176679,0.3403358963637991,0.6768472780703899,0.5224374934320422,0.1961244379144372
2024-03-14_038RL,2024-09-09_043AS,58149,0.4560070794411393,0.6525447751568849,0.5891134719834624,0.5078226027468953,0.3425313524837866,0.5833354873372705,0.4983340650291178,0.25862809968403017
2024-03-14_038RL,2024-09-10_008TP,54184,0.33155738506820487,0.5615278993138917,0.5299646024236603,0.18359836867096863,0.02705514393952955,0.3792423390235981,0.22890050788369015,-0.014953361432075528
2024-03-14_038RL,2024-09-10_045VS,51675,0.34230994883930627,0.6050365015629401,0.5292734501989619,0.5983004139230998,0.22108681816967887,0.48030256482326983,0.4349481918528576,0.2525261724560562
